1,Ryunosuke Naruhodo,,,robin,ylisseantactics,,,,,
2,Susato Mikotoba,,,Wanyuu,agednoodles,,,,,
3,Kazuma Asogi,,,Starry,starry_38,,_starry_38,https://linktr.ee/Starsie_Art,Linktree,kazuma best boi <3
4,Herlock Sholmes,,,hizurida,psyblix,,,,,The game is afoot! 
5,Iris Wilson,Young Girl,alt,Lazyemma710,lazyemma710,,,,,"Omg it's Iris Wilson from the hit game ""The Great Ace Attorney Chronicles""!!!"
6,Barok van Zieks,,,856,856_zatta,,,,,
7,Yujin Mikotoba,Magician,,glittergoats,glittergoatss,glittergoats,,,,
8,Seishiro Jigoku,,alt,heavendraven,,heavendraven,,,,you're telling me a man named Mr. Hell wasn't a good guy after all??
9,Taketsuchi Auchi,,,dewilacie,catsycatsyuryuu,,dewilacie,,,Auchi! I feel PAYNE!
10,Satoru Hosonaga,,,tsam,tsam__p,,,,,
11,Iyesa Nosa,Stereoscope Fan,alt,Rai,auqroix,auqroix,auqroix,,,ai-also-do nosa!!
12,Kyurio Korekuta,,,milaza,milaza_zo,milaza,,https://www.milaza.art,Website,
13,Jezaille Brett,Banker,,HoshiDensha,HoshiDensha,HoshiDensha,HoshiDensha,,,
14,Bif Strogenov,,,Annie-Mae,Anime27Arts,,,,,
15,Nikolina Pavlova,Guild Master,,Kate,kittkatee_,,kittkatee_,,,
16,Mael Stronghart,O. Asman,,Konck,,,konckquer,,,
17,Judge,,,MYOSS,,myossssss,,,,
18,Magnus McGilded,Policeman,,Jules,vonlipvig,vonlipvig,,,,Can I get uhhhh McGildedâ€š please. No discsâ€š extra crispy.
19,Beppo,,,asoryuuactivist,asoryuulover69,asoryuuactivist,asoryuuactivist,,,loved that part of the great ace attorney chronicles where ryuunosuke naruhodou and kazuma asougi kissed and overthrew the government
20,Bruce Fairplay,Laborer,,m,turnaboutdgs,,,,,"If you happen to stumble across here and have not yet played The Great Ace Attorney, please do!"
21,Lay D. Furst,,,Felix,heartheadband,heartheadband,,,,Hats off to this guy! 
22,Gina Lestrade,,alt,Ruti,StarrryKnight_,starrryknight,,,,Gina! feat. Toby :)
23,Tobias Gregson,,,Lena,7mwatermelon,,,,,Greggy tried to be hard-boiled on screen and paid the price.
24,Soseki Natsume,D. Ross,,Quinn,peppermint_artz,peppermintartz ,,,,"""LOCAL STUDENT MR. NARUHODOU ESQUIRE!"" "
25,Joan Garrideb,,,ROM,ROMc_m,,,,,Bombastic Side Eye (Victorian Era Edition)
26,John Garrideb,Young Woman,,Novelocks,novelocks,,novelocks,,,
27,Olive Green,,,Dragon of Shades,dragonofshades,,,,,
28,Roly Beate,,,IcedMochaArt,IcedMochaArt,,icedmochaart,,,Roly and Pat are the only straight people I'll tolerate 
29,Patricia Beate,,,Coco,,k0-bear,,,,
30,Pop Windibank,Young Man,,fluffmamon,fluffmamon,fluffmamon,fluffmamon,,,
31,Ashley Graydon,Scientist,,03RIN,,,03rin__,https://03rin.carrd.co,Carrd,
32,Ringo Skulkin,Typewritist,,Fuzzylilly1,fuzzylilly1,,fuzzylilly.art,,,"Shu and I collaborated on the Skulkin brothers for this project! Since they're such an iconic 2/3 of a trioâ€š I thought drawing them in a matching pose was a must. Shu came up with the idea of using Mario and Luigi as pose references since the Skulkin's design is reminiscent of them. Soâ€š if you match the brothers up right next to each otherâ€š they're doing a togetherâ€š brother pose!"
33,Nash Skulkin,Surgeon,,Shu,Shuthebeloved,,,https://sinnashu.carrd.co/,Carrd,"""They're pretty toughâ€š should we be careful?"" Is not something I think people would say about the Skulkins at first glance."
34,Rei Membami,Elderly Woman,,Ace,,,purplebard__,,,Rei Membami is my favorite ace attorney character of all time! I hope I made her look pathetic enough :)
35,Raiten Menimemo,Middle Aged Man,,Snivy,snivyart_jpeg,,,,,"""Oh yesâ€š I stabbed the Englishwoman. And it's that very fact that proves I'm innocent!"" - Raiten Menimemoâ€š giving the greatest courtroom defense of all time."
36,William Shamspeare,J. Wilson,,Fenne,Fenneccuine,,fenne_the_artsy_enby,,,
37,Adron B. Metermann,Selden,,Mina,Clouded_Kokoro,thecloudedkokoro,,,,I present to you this forgotten Muppet-- I mean Clouded Kokoro character!
38,Quinby Altamont,,,KumaMoto,,,Kuma_m0t0,,,Drawing sexy gas company ladies is kinda fun hehe
39,Albert Harebrayne,,,Champy,Champy_is_there,,,,,*Blows Crystal Tower with mind*
40,Esmeralda Tusspells,,,Gia,,shifting-fixations,,,,
41,Balthazar Lune,Maid,,BaconnEggs,,,baconnarts,https://archiveofourown.org/users/BaconnEggs,Ao3,
42,Wilhelm Gottsreich Sigismond Ormstein,,,SpilledTe,Spilled_Te,,,,,I WANT MY OWN ARMY; I WANT MY OWN PLANET; I DESERVE IT!!!1! -Gotts
43,Courtney Sithe,V. Borshevik,,kovvskii,,,kovvskii,,,
44,Maria Gorey,,alt,cocoreaux,,,cocoreaux_,,,teeheehee *CUTS YOU OPEN
45,Enoch Drebber,,,Agi,_velpi,velpi,,https://linktr.ee/velpi,Linktree,beep boop boop beep
46,Evie Vigil,,,rowan,cursedwurm,cursedwurm,,,,game of all time <3
47,Daley Vigil,,,val-uable.doodles,val_doodles,val-uable-doodles,val.uable_doodles,,,Boo go kiss your wifeâ€š ugly
48,Barry Caidin,,alt,Black,artist_black,,,,,This one's for the 2 Caidin fans out there!!
49,Venus,Barber,alt,spiderfriend,spiderfriendd,spiderfriend,,,,
50,Fabien de Rousseau,M. Milverton,,Qopphy,,qoppybirdie,,,,my pretty ketchup dipped french fry *kissing noises*
51,Peppino de Rossi,,,Ryth,ryth_lock,ryth-lock,,,,
52,Genshin Asogi,,,Lucid.Moone,flairelucid,,lucid.moone,,,Check out my art accs on twt and instaâ€š and feel free to interact with my main ^-^
53,Klint van Zieks,,,Handsome_Kakigori,Hndsm_Kakigori,handsome-kakigori,handsome_kakigori,,,Klint the throat goat ðŸâœ¨. Can you find Genshinâ€™s ring in this piece? Probably not bc itâ€™s smolâ€š but itâ€™s there i swearâ€”
54,Lady Baskerville,,,Masa,kazelnoot,,kazelnoot,,,Dgs 3 when (where it's revealed lady b was alive the whole time and was just in hiding) (and also she is my mom) 